LSI-EASTERNBENGALIOFCHITTAGONG,,pā̃ch,Five,,pãːtʃ,,"grierson-lsi1928[p. 10-11, form EASTERNBENGALIOFCHITTAGONG-5_five-1, concept 5_five]",,,grierson-lsi1928:EASTERNBENGALIOFCHITTAGONG-5_five-1,,,,
LSI-EASTERNBENGALIOFCHITTAGONG,,pā̃chchwā,Five,,pãːtʃtʃwʌː,,"grierson-lsi1928[p. 10-11, form EASTERNBENGALIOFCHITTAGONG-5_five-2, concept 5_five]",,,grierson-lsi1928:EASTERNBENGALIOFCHITTAGONG-5_five-2,,,,
LSI-ASSAMESE,,pā̃s,Five,,pãːs,,"grierson-lsi1928[p. 10-11, form ASSAMESE-5_five-1, concept 5_five]",,,grierson-lsi1928:ASSAMESE-5_five-1,,,,
LSI-EASTERNHINDIAWADHI,,pā̃ch,Five,,pãːtʃ,,"grierson-lsi1928[p. 10-11, form EASTERNHINDIAWADHI-5_five-1, concept 5_five]",,,grierson-lsi1928:EASTERNHINDIAWADHI-5_five-1,,,,
LSI-BAGHELI,,pā̃chi,Five,,pãːtʃi,,"grierson-lsi1928[p. 10-11, form BAGHELI-5_five-1, concept 5_five]",,,grierson-lsi1928:BAGHELI-5_five-1,,,,
LSI-BAGHELI,,pā̃ch,Five,,pãːtʃ,,"grierson-lsi1928[p. 10-11, form BAGHELI-5_five-2, concept 5_five]",,,grierson-lsi1928:BAGHELI-5_five-2,,,,
LSI-CHHATTISGARHI,,pā̃ch,Five,,pãːtʃ,,"grierson-lsi1928[p. 10-11, form CHHATTISGARHI-5_five-1, concept 5_five]",,,grierson-lsi1928:CHHATTISGARHI-5_five-1,,,,
LSI-WESTERNHINDIHINDOSTANI,,pā̃ch,Five,,pãːtʃ,,"grierson-lsi1928[p. 10-11, form WESTERNHINDIHINDOSTANI-5_five-1, concept 5_five]",,,grierson-lsi1928:WESTERNHINDIHINDOSTANI-5_five-1,,,,
LSI-VERNACULARHINDOSTANI,,pā̃ch,Five,,pãːtʃ,,"grierson-lsi1928[p. 10-11, form VERNACULARHINDOSTANI-5_five-1, concept 5_five]",,,grierson-lsi1928:VERNACULARHINDOSTANI-5_five-1,,,,
LSI-DAKHINI,,pā̃ch,Five,,pãːtʃ,,"grierson-lsi1928[p. 10-11, form DAKHINI-5_five-1, concept 5_five]",,,grierson-lsi1928:DAKHINI-5_five-1,,,,
LSI-BANGARU,,pā̃ch,Five,,pãːtʃ,,"grierson-lsi1928[p. 10-11, form BANGARU-5_five-1, concept 5_five]",,,grierson-lsi1928:BANGARU-5_five-1,,,,
